date,year,month,day,open,high,low,close,volume,trades,open_yesterday,high_yesterday,low_yesterday,close_yesterday,volume_yesterday,trades_yesterday,open_1D_change,high_1D_change,low_1D_change,close_1D_change,volume_1D_change,trades_1D_change,open_average_7D,high_average_7D,low_average_7D,close_average_7D,volume_average_7D,trades_average_7D,open_%change_7D,high_%change_7D,low_%change_7D,close_%change_7D,volume_%change_7D,trades_%change_7D,moving_average_9,moving_average_20,moving_average_50
2022-01-01,2022,1,1,46150.0,47922.6,46150.0,47738.3,2133.68707098,19093,47143.8,48591.6,45530.3,46150.0,3113.0177165101,28633.0,0.014619763475341552,0.014281718481904626,-0.008704531451052655,-0.02108018445691695,0.6140630186164286,0.29619737437754634,49130.47142857143,49974.77142857143,47857.59999999999,48462.25714285715,2120.1788241243144,23541.285714285714,-0.006019535676251242,-0.009744037995805255,-0.005855654482094416,-0.01037735803207204,0.04667141304341008,0.006220847497438421,48987.65555555556,48340.784999999996,53022.295999999995
2022-01-02,2022,1,2,47736.5,47950.4,46700.0,47304.6,1343.75926236,19384,46150.0,47922.6,46150.0,47738.3,2133.68707098,19093.0,-0.02108018445691695,-0.01376781172054431,0.013610716380080934,0.034416034669555895,-0.3145920565553333,-0.3331819928055041,48461.299999999996,49513.114285714284,47277.71428571428,48076.87142857143,2250.3061243057427,24075.14285714286,-0.010376549302097447,-0.008963596845104489,-0.0142764649266131,-0.013432385130814952,0.16762209069554881,0.06386081907258376,48645.37777777777,48222.04,52694.00199999999
2022-01-03,2022,1,3,47301.2,47567.2,45707.9,46452.6,2133.14177926,23931,47736.5,47950.4,46700.0,47304.6,1343.75926236,19384.0,0.03437703141928483,0.0005801020812727931,0.011917659804983716,-0.009084948563312989,-0.37021727289053075,0.01524118786989992,48075.642857142855,49042.885714285716,46888.014285714286,47577.91428571428,2288.0854416728857,24628.428571428572,-0.013431295290025323,-0.00902858234006519,-0.011633306798248446,-0.007396485772640848,0.19161581720131307,0.08290491107668922,48253.18888888889,48250.659999999996,52352.232
2022-01-04,2022,1,4,46452.5,47500.0,45548.7,45858.5,2219.89025735,22817,47301.2,47567.2,45707.9,46452.6,2133.14177926,23931.0,-0.00911880845893609,-0.007991591311021451,-0.021244111349036365,-0.01801093339759774,0.5874434052373589,0.23457490713990925,47576.18571428571,48393.77142857143,46206.25714285714,46972.942857142865,2360.0520782828858,24908.85714285714,-0.007401527674145211,-0.009190907629132803,-0.0077077992228570735,-0.009717697565065908,0.15549154977918064,0.08364025585518609,47810.58888888889,48153.33,51971.384000000005
2022-01-05,2022,1,5,45858.5,47066.5,42505.0,43410.0,4070.4828775901,36190,46452.5,47500.0,45548.7,45858.5,2219.89025735,22817.0,-0.017942462347678267,-0.0014127381893405122,-0.0034829865296809315,-0.01278938100343141,0.04066700063419759,-0.0465504993523046,46971.18571428572,47937.55714285715,45955.28571428572,46731.57142857143,2174.1065155757287,23137.428571428572,-0.009727574565489608,-0.012755241356374847,-0.013784043065906462,-0.011981616505295833,0.16660436687970842,0.05768164016905671,47261.833333333336,48002.189999999995,51616.238
2022-01-06,2022,1,6,43432.5,43748.0,42424.0,43124.4,4794.7013253702,39424,45858.5,47066.5,42505.0,43410.0,4070.4828775901,36190.0,-0.01278725579893436,-0.009126315789473649,-0.06682298287327626,-0.05339250084499059,0.8336414893091382,0.5860980847613622,46729.57142857143,47786.528571428564,45438.857142857145,46293.971428571436,2420.3804409171717,24591.14285714286,-0.011981712535599305,-0.009071125306801335,-0.005297326227608907,-0.004960881768382703,0.0065191717172075215,-0.0351262191182926,46453.23333333333,47791.14,51281.694
2022-01-07,2022,1,7,43124.5,43134.9,40666.0,41523.6,5771.2923085602,37588,43432.5,43748.0,42424.0,43124.4,4794.7013253702,39424.0,-0.052901861159872166,-0.07050662360702409,-0.0019056581578638099,-0.006579129232895609,0.17791954162668477,0.08936170212765959,46296.42857142857,47192.32857142858,44937.985714285714,45719.771428571425,2829.8114699172,27067.428571428572,-0.004965201077599631,-0.0031330433308750833,-0.011263393647470294,-0.009358870239689192,0.17327478447869038,0.08593388680068684,45961.711111111115,47638.945,50936.825999999994
2022-01-08,2022,1,8,41523.7,42302.4,40555.0,41693.2,2564.73685397,24823,43124.5,43134.9,40666.0,41523.6,5771.2923085602,37588.0,-0.007091463765613315,-0.014014354941940144,-0.04143880822176127,-0.03712051645935954,0.20368129668944435,-0.04657061688311692,45722.24285714286,46412.799999999996,44243.08571428572,45058.857142857145,3209.564983067214,28346.714285714286,-0.009261968189673064,-0.012563322864889512,-0.010947413453692196,-0.012360148975655627,0.22413216085399204,0.12024868058836675,45411.75555555555,47371.909999999996,50628.864
2022-01-09,2022,1,9,41693.2,42786.7,41249.7,41862.9,2006.61458019,16220,41523.7,42302.4,40555.0,41693.2,2564.73685397,24823.0,-0.03712043038180157,-0.019299917236390907,-0.002729552943490865,0.004084424279205079,-0.5556044094030924,-0.33960306480791747,45061.34285714286,45609.91428571429,43443.8,44195.271428571425,3271.1435234943574,29165.285714285714,-0.012363572081238046,-0.01660561906829591,-0.01562373870665057,-0.014651624976004569,0.16550620057870855,0.07128182469398628,44806.13333333333,47122.15,50300.736000000004
2022-01-10,2022,1,10,41867.1,42239.6,39659.9,41855.3,4131.2822819702,29925,41693.2,42786.7,41249.7,41862.9,2006.61458019,16220.0,0.004082006179603415,0.011448523015242573,0.017129823696214963,0.004070208091487393,-0.2176138549715434,-0.3465737420940257,44198.014285714286,44872.24285714285,42665.18571428571,43417.885714285716,3365.8371403272145,28713.285714285714,-0.014655035784792991,-0.017395919856273995,-0.017958062895732256,-0.018984712174626113,0.1310758644576001,0.07036452869364151,44329.788888888885,46870.39,49943.11
2022-01-11,2022,1,11,41855.2,43127.5,41315.5,42728.8,3316.84906075,27218,41867.1,42239.6,39659.9,41855.3,4131.2822819702,29925.0,0.004170943942897187,-0.012786683712462055,-0.03854088635796127,-0.00018154499568823201,1.0588319863493774,0.844944512946979,43421.71428571428,44111.15714285715,41801.18571428571,42761.12857142858,3651.285783571529,29569.571428571428,-0.01898289653331891,-0.01584328829427831,-0.01721346805412779,-0.017105404081083204,0.15287635273174116,0.018676681555937855,43676.12222222223,46516.86,49607.292
2022-01-12,2022,1,12,42728.8,44348.5,42480.0,43927.8,2847.97173242,25374,41855.2,43127.5,41315.5,42728.8,3316.84906075,27218.0,-0.00028423272689059864,0.021020558906807763,0.04174493632106979,0.020869519511268475,-0.19713811974905726,-0.09045948203842946,42764.957142857136,43486.514285714286,41196.44285714285,42314.02857142857,3807.994184057243,30198.285714285714,-0.017084360475914155,-0.016528301494484112,-0.019684435912545633,-0.014558348595096129,0.22021757860488664,0.1058723395283764,43167.7,46222.055,49335.958000000006
2022-01-13,2022,1,13,43927.8,44420.1,42352.0,42550.0,2960.06741848,25407,42728.8,44348.5,42480.0,43927.8,2847.97173242,25374.0,0.020871958561899273,0.028311402237551464,0.0281855477968318,0.028060699106925435,-0.14136227478014274,-0.06774928356234844,42317.857142857145,43098.22857142857,41192.87142857142,42388.0,3633.3497347472285,28653.14285714286,-0.014561756244373059,-0.01332354476646293,-0.013223304076724103,-0.009749934235853288,0.18624541855013593,0.09959962771607285,42887.166666666664,45877.505000000005,49063.085999999996
2022-01-14,2022,1,14,42550.0,43473.1,41800.0,43090.0,2711.96112072,24161,43927.8,44420.1,42352.0,42550.0,2960.06741848,25407.0,0.028060699106925435,0.001614485270076793,-0.003013182674199588,-0.03136510364734868,0.039359830992686584,0.0013005438637976319,42388.614285714284,43194.24285714286,41182.58571428571,42305.94285714285,3371.259176620057,26650.714285714286,-0.009753297049968255,-0.00797529933403077,0.00034934316186276327,0.0018862371858489998,0.04695916653738154,0.0061928608126856155,42519.555555555555,45463.29,48770.02
2022-01-15,2022,1,15,43090.0,43791.6,42600.0,43111.5,975.55181847,17155,42550.0,43473.1,41800.0,43090.0,2711.96112072,24161.0,-0.03136510364734868,-0.021319177579519177,-0.013033622969399361,0.012690951821386687,-0.0838177861122511,-0.04904160270791513,42306.54285714286,43242.55714285715,41344.58571428571,42529.71428571428,2934.2118640714575,24732.571428571428,0.0018127829881456892,0.002327716219840784,0.00019112537381479492,-0.0016546163019300103,0.027164922161096085,-0.006387304653580379,42484.0,45095.990000000005,48453.168
